id	file	artist	title	standard	audio	renderer	extra
0	Arabesq	Yamaha	Arabesque	XG, PLG-AP	MU100, PLG150-AP	N/A	
1	Bounce	Yamaha	Blake's Bounce	XG, PLG-AP	MU100, PLG150-AP	N/A	
2	Solace	Yamaha	Solace	XG, PLG-AP	MU100, PLG150-AP	N/A	
