id	file	artist	title	year	standard	audio	renderer	copyright	extra
0	04Orch	Roland	Cheers!	2001	GM2	HyperCanvas GM2	Lumière Élevé	2001 © Roland Corporation	
1	Demo01	Roland	Orchestra Medley	2002	GM2, SD	SD-20	Romantique Tp	2002 © Roland Corporation	
2	Demo02	Roland	Latin Medley	2002	GM2, SD	SD-20	Romantique Tp	2002 © Roland Corporation	
3	Demo03	Roland	Jazz Medley	2002	GM2, SD	SD-20	Romantique Tp	2002 © Roland Corporation	
4	Demo04	Roland	Cabo Nights	2002	GM2, SD	SD-20	Romantique Tp	2002 © Roland Corporation	
5	Demo05	Roland	Mariners' Dawn	2002	GM2, SD	SD-20	Romantique Tp	2002 © Roland Corporation	
